Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main System Controller","ESP32-WROOM-32D Development Board","EVAL BOARD FOR ESP-WROOM-32","electrical","mcu",1,8.50,8.50,"https://www.digikey.com/en/products/result?keywords=ESP32-WROOM-32D"
"Miniature Induction Heater","ZVS 120W Induction Heating Board","","electrical","actuator",1,15.00,15.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxHyHDtl8FDHReDUgMk2GyvtoHEZWoPXcOac7zgFISjlO7mJu7d4vUyuCcFbbQCm6IOTJw6F0ducrvmtpX9vCeahxonrZk4ZROTz0ptMQsx3Oubity5VtgDAPKcpxaGKYgbaXVNAWQjBaMq2eo6jacuwdB7c6X9T8uNV2AQfSdvo3Z6fJbtowvHMIre5hMyWWAkLxqKFXEuHt8Mio7a8cOOtI5XCO7M7UZYgHCEFWoaB4ZIjjqs2AqS7dxWSrHo8yVNl05tj9uDY72QYocofIA6qo6DPx6NFTa42uSNKuVc8aMZp6OVJ2DEvFnVUSVgPQ6jxkrWk6n4ObEHL13YRxz8dwnzb1wKLSGYzMmstecYEsDknPN63TP5ZfG8UJsDiYVCG3gyVr3oG0f1P7VBpThHS5yzFak2dMHTqeBkM0qMXwLUEMMHqnKPfUvx8RPgVeYzHPdcZNh2WvdNvV8ZGLK1wYPC5IxdCrqC81bMlkppMrOLdDtlXHVUfRzXUtRDeO7zhu3I8BljcSD4z1PiCngfp3A5ZyNDdgTpxfK22ZQgWoAhX8aZdabWtkOHWHqmkarzyYkI29bBDAEXcxNE1W09bvMR1rXWzUhMfyByzNwG8hWwqEAwVBVQSN8CLv4jXUXNCrufYi8DO7iNqJ3H89HlK7"
"Electrostatic Separator Source","400kV High Voltage Pulse Generator","","electrical","module",1,12.00,12.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxgoqYqcZivncxdsDf1uGi2zFPMiZpXNoTLkruIlUtip1ERyj3dCz5Tq5qezljiwWX7tPCeZKqH42W3WFqfMs5yr3VmLhOcWqgsdDbIdvz6ZsqHh3GnSeUxAfaLTt9vr5rTSlp33vrQjCqb0FN3lmyiGxWqq7MhRIcurU0gB0RnNgkyInSusLp5qCAtMSM1iXq0bn29Fvjc98eTPPZlH8WsJjJTqLDGGp8KNQEVRRjuOMDMSgaGt3aiSpqAw3Biy4FQ2OgRGbALnOpYjw2fqF6LsSFVcB2v51vug7pKdCgcDp93WgFqTtHHd8rvEtjNzyj1Qhdu9IxusvxKJbR0KvDeeop3T3g0ozKMogLVOpOn4yw6haoZpwda2o3kxD1UYLtzmauuL41W9g134ssRtIEfi9og9u3o0BKSVQg5qMO9HMoaUrLUSRSP4m50fto9FX0ColZtiQp1h8DB6XreBbwCGUw7t3RzjD1FKZQaMYy7GU4LDg2l0Chjru8kmB9DR4WR50J5iTAIPIEk3amqqtWkhtTUQrdUzwHnqvNehB8A1W8Fy7fRXGq2tLbiovy0SmENGIDm8sdGOHPTgR1jVkgJAkclPMurYsQJOPl0JIxN1L4UcFKPa1250MqsLcMNyF94uIPMSL1KJTMnelFrz8pIqn"
"Crucible Temperature Sensor","MAX31855 K-Type Thermocouple Amplifier","Monitors temperature inside the sealed, heated chamber.","electrical","sensor",1,14.95,14.95,"https://www.adafruit.com/product/264"
"Argon Gas Flow Valve","12V DC Electric Solenoid Valve 1/4 inch","","electrical","actuator",1,11.50,11.50,"https://www.amazon.com/dp/B00APDNPXG?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Planetary Mill Drive","NEMA 17 Stepper Motor 1.7A","Provides rotational motion for the fifth joint of the robot arm.","electrical","actuator",1,14.00,14.00,"https://www.digikey.com/en/products/result?keywords=NEMA+17+stepper"
"Mill Motor Driver","A4988 Stepper Motor Driver Carrier","","electrical","module",1,5.95,5.95,"https://www.pololu.com/product/1182"
"System UI Display","1.3 inch OLED Display I2C SH1106","","electrical","display",1,8.90,8.90,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxR52Ry9KwONAG8dFOMg4vEMwlGC78eTXkXDg441gLTfppuH3q4DmdzwsinDn5E0bl61opnMbkEh5eEJZ23pMaDjbF3BbLAGOCf8LXi1VhxsqXWJQtfGcwLsjApqMkXNpviFYd7InbE8ElYwtHEOwTCo3CaxoJ01rqeNi9d01VeQwd5fIUXvmj3K0Gu6JlBJdluKjcsqY2iqMA4jqakgUzbd4uJModqfdPjkfJ2uET9pj8sI5D1ebZUkgIjvPnGtzHOA357f1NjweS7HJmluaKnq4AN1rO3Pq6rqgOTAdQr2vpPCL94zNAOm2IYKwt1RaIIsftxG8ufQ4rJBIWjQB2HKsnsqCpz3KvxjVgr29fXpcVdTmHRqNMANSS7Ep65idsA1mqGbxbUErXyWcVB7s77YYcqVtHD9I4Qklj29HZAQszDCUFEYHFqmba4kZBQ3X7VuuVNVUFLeVQHf1WCH8xoi29D4Qo92XX9XYQ9gCtCtXu2BQwOjxUiVwXmtI76oe2LhFWj9snJK1ZFAm4suhOqEWHDgNeBaHBuZjm3z6SUG0JGCZi0bfN4UuXfa7lzxiv8ljtYzjcRxE6uiSpauEuVTXfSrRQ5iVT4yS94TlKP1avvhXKfPq9k6uzzgny0QLzbxn1IPwyyba7EXR0jZiUgnp"
"System Power Regulator","24V 10A DC Switching Power Supply","Main power supply for motors, heaters, and 24V modules.","electrical","power",1,22.00,22.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxInyY37P20yTrhBCsT5iEq1XCeOpn7eLNIbCg9T9VJxoYMt9E6xgqQWXLhUWrU0xP9j2tvHHMRCXGmKrQyLkAwzUM7sivYRCABcs8pTiz4TaHk0pcDgQTGmkb7lBbPIlMCEZpFczsKygP9gt4UgVmciLmlIle1LJNhDnhazrH77L9zMfUpyXTogeI6s5jdxebPdBItmByKuoSAdlAYRoZVFFnoeOh9NkK7JNiTrgTws9dE6hf0dxuW1HDAha7jlPdeUM6O3m3WCfPbvgMWV5cBZ0dlsopoDIXU8yAh8i8MYuDyldsR5cPkziDaFcYherL38PpBD6qKu2dj7KK1KTcMXVJtYEV86kkkUsTxP5FkW3P31pjsFEzsgbVNnkOg6ETq9J792HGuuY7GY1nR4YzIMmBIaYmOTJWP1cJfmjNTsrQJFSaQ41duUr7kFVDcjNggyab8HPObKq6nm9dEMpjBIOcu4c3T1UYRe8DwXE60WXOWvEQEnaI9ZkrlspXEK2sU2jNe76dR2DRP7GlPv1PpHjf3k1T6uwIu7nLGnCsTIanOQOUmtSLjH6Uq1MsfjCUQUiHyp3inj4OdUabFwjoch6BiyM00PoYBfz8FpGY4bLn4VkYbc19swUNOZ7e53sZL2kILUYDvW9wTTr1YeSJz0J"
"Magnetic Backcross Controller","L298N Dual H-Bridge Motor Driver","Dual H-bridge driver for controlling two DC motors.","electrical","module",1,7.00,7.00,"https://www.digikey.com/en/products/result?keywords=L298N"
